iter	Passed	Remaining
699	6637	2844
700	6648	2835
701	6658	2826
702	6666	2816
703	6675	2806
704	6683	2796
705	6692	2786
706	6700	2776
707	6709	2767
708	6717	2757
709	6726	2747
710	6735	2737
711	6743	2727
712	6750	2717
713	6760	2707
714	6769	2698
715	6778	2688
716	6788	2679
717	6797	2669
718	6806	2660
719	6815	2650
720	6824	2640
721	6832	2630
722	6841	2621
723	6850	2611
724	6858	2601
725	6866	2591
726	6874	2581
727	6883	2571
728	6890	2561
729	6899	2552
730	6907	2541
731	6916	2532
732	6924	2522
733	6933	2512
734	6941	2502
735	6949	2492
736	6958	2483
737	6967	2473
738	6976	2464
739	6985	2454
740	6995	2444
741	7005	2435
742	7014	2426
743	7023	2416
744	7032	2407
745	7041	2397
746	7050	2387
747	7059	2378
748	7067	2368
749	7075	2358
750	7085	2349
751	7094	2339
752	7103	2330
753	7113	2320
754	7123	2311
755	7133	2302
756	7143	2292
757	7155	2284
758	7168	2276
759	7179	2267
760	7190	2258
761	7201	2249
762	7211	2239
763	7221	2230
764	7231	2221
765	7242	2212
766	7253	2203
767	7264	2194
768	7274	2185
769	7286	2176
770	7300	2168
771	7311	2159
772	7322	2150
773	7333	2141
774	7344	2132
775	7354	2122
776	7366	2114
777	7377	2105
778	7386	2095
779	7398	2086
780	7409	2077
781	7417	2067
782	7428	2058
783	7437	2049
784	7447	2039
785	7457	2030
786	7466	2020
787	7475	2011
788	7482	2001
789	7493	1991
790	7501	1981
791	7509	1972
792	7517	1962
793	7526	1952
794	7533	1942
795	7542	1932
796	7550	1923
797	7558	1913
798	7567	1903
799	7575	1893
800	7583	1884
801	7591	1874
802	7599	1864
803	7607	1854
804	7615	1844
805	7623	1835
806	7633	1825
807	7643	1816
808	7653	1806
809	7662	1797
810	7671	1787
811	7680	1778
812	7690	1768
813	7699	1759
814	7709	1750
815	7719	1740
816	7728	1731
817	7738	1721
818	7747	1712
819	7756	1702
820	7765	1693
821	7773	1683
822	7782	1673
823	7791	1664
824	7800	1654
825	7809	1645
826	7819	1635
827	7828	1626
828	7837	1616
829	7845	1606
830	7855	1597
831	7864	1588
832	7873	1578
833	7883	1569
834	7891	1559
835	7900	1549
836	7908	1540
837	7916	1530
838	7924	1520
839	7933	1511
840	7942	1501
841	7950	1491
842	7958	1482
843	7968	1472
844	7986	1464
845	8001	1456
846	8013	1447
847	8022	1438
848	8030	1428
849	8038	1418
850	8046	1408
851	8053	1399
852	8063	1389
853	8071	1379
854	8079	1370
855	8086	1360
856	8095	1350
857	8102	1340
858	8111	1331
859	8118	1321
860	8126	1311
861	8133	1302
862	8141	1292
863	8149	1282
864	8157	1273
865	8164	1263
866	8172	1253
867	8180	1243
868	8188	1234
869	8196	1224
870	8204	1215
871	8213	1205
872	8221	1195
873	8229	1186
874	8236	1176
875	8244	1167
876	8252	1157
877	8260	1147
878	8267	1138
879	8275	1128
880	8283	1118
881	8291	1109
882	8298	1099
883	8306	1089
884	8314	1080
885	8322	1070
886	8330	1061
887	8338	1051
888	8345	1042
889	8353	1032
890	8360	1022
891	8368	1013
892	8376	1003
893	8384	994
894	8392	984
895	8399	974
896	8407	965
897	8415	955
898	8423	946
899	8430	936
900	8438	927
901	8446	917
902	8454	908
903	8462	898
904	8470	889
905	8478	879
906	8485	870
907	8493	860
908	8501	851
909	8509	841
910	8517	832
911	8525	822
912	8534	813
913	8542	803
914	8550	794
915	8558	784
916	8566	775
917	8574	765
918	8582	756
919	8590	746
920	8598	737
921	8605	728
922	8613	718
923	8621	709
924	8628	699
925	8636	690
926	8644	680
927	8652	671
928	8659	661
929	8667	652
930	8674	642
931	8681	633
932	8689	624
933	8697	614
934	8705	605
935	8712	595
936	8720	586
937	8728	576
938	8736	567
939	8745	558
940	8753	548
941	8762	539
942	8770	530
943	8779	520
944	8788	511
945	8797	502
946	8806	492
947	8815	483
948	8823	474
949	8833	464
950	8842	455
951	8851	446
952	8860	436
953	8869	427
954	8878	418
955	8887	409
956	8897	399
957	8906	390
958	8916	381
959	8925	371
960	8935	362
961	8944	353
962	8953	344
963	8964	334
964	8974	325
965	8983	316
966	8993	306
967	9003	297
968	9014	288
969	9025	279
970	9035	269
971	9050	260
972	9060	251
973	9070	242
974	9082	232
975	9092	223
976	9103	214
977	9113	204
978	9123	195
979	9132	186
980	9142	177
981	9152	167
982	9162	158
983	9172	149
984	9182	139
985	9193	130
986	9202	121
987	9212	111
988	9223	102
989	9233	93
990	9243	83
991	9253	74
992	9263	65
993	9273	55
994	9282	46
995	9299	37
996	9317	28
997	9332	18
998	9345	9
999	9354	0
